,postcode,response,Registered Firearms Owners,Registered Firearms,Largest stockpile,parse sucess
321,2400,200,822.0,4042.0,35.0,True
322,2401,200,58.0,313.0,,False
323,2402,200,277.0,1264.0,,False
324,2403,200,145.0,732.0,,False
325,2404,200,254.0,1320.0,,False
326,2405,200,102.0,587.0,,False
327,2406,200,,,,False
328,2408,200,80.0,432.0,,False
329,2409,200,107.0,465.0,,False
330,2410,200,61.0,314.0,,False
331,2411,200,18.0,67.0,11.0,True
332,2415,200,48.0,233.0,29.0,True
333,2420,200,390.0,1695.0,,False
334,2421,200,208.0,910.0,,False
335,2422,200,593.0,2665.0,,False
336,2423,200,277.0,1155.0,,False
337,2424,200,78.0,407.0,29.0,True
338,2425,200,,,,False
339,2426,200,42.0,141.0,18.0,True
340,2427,200,111.0,584.0,91.0,True
341,2428,200,450.0,1881.0,,False
342,2429,200,842.0,3821.0,,False
343,2430,200,1178.0,5071.0,72.0,True
344,2431,200,163.0,855.0,38.0,True
345,2439,200,205.0,893.0,52.0,True
346,2440,200,1340.0,6058.0,89.0,True
347,2441,200,453.0,1900.0,42.0,True
348,2442,404,,,,
349,2443,200,319.0,1426.0,92.0,True
350,2444,200,826.0,3676.0,40.0,True
351,2445,200,165.0,704.0,21.0,True
352,2446,200,940.0,3967.0,52.0,True
353,2447,200,442.0,1859.0,20.0,True
354,2448,200,207.0,882.0,30.0,True
355,2449,200,181.0,855.0,82.0,True
356,2450,200,1281.0,6257.0,58.0,True
357,2452,200,241.0,1109.0,39.0,True
358,2453,200,320.0,1250.0,22.0,True
359,2454,200,296.0,1338.0,66.0,True
360,2455,200,111.0,524.0,49.0,True
361,2456,200,371.0,1514.0,23.0,True
362,2460,200,1804.0,8309.0,62.0,True
363,2462,200,237.0,1017.0,57.0,True
364,2463,200,405.0,1983.0,55.0,True
365,2464,200,120.0,566.0,19.0,True
366,2465,200,20.0,116.0,25.0,True
367,2466,200,55.0,290.0,20.0,True
368,2469,200,503.0,2108.0,33.0,True
369,2470,200,928.0,4221.0,52.0,True
370,2471,200,199.0,854.0,52.0,True
371,2472,200,133.0,519.0,18.0,True
372,2473,200,72.0,307.0,14.0,True
373,2474,200,532.0,2211.0,42.0,True
374,2475,200,50.0,287.0,33.0,True
375,2476,200,90.0,413.0,24.0,True
376,2477,200,415.0,2035.0,237.0,True
377,2478,200,404.0,1430.0,22.0,True
378,2479,200,182.0,611.0,20.0,True
379,2480,404,,,,
380,2481,200,1650.0,6576.0,55.0,True
381,2482,200,156.0,603.0,26.0,True
382,2483,200,203.0,723.0,17.0,True
383,2484,200,760.0,3126.0,50.0,True
384,2485,200,102.0,430.0,23.0,True
385,2486,200,419.0,1824.0,63.0,True
386,2487,200,160.0,619.0,56.0,True
387,2488,200,27.0,153.0,27.0,True
388,2489,200,78.0,304.0,16.0,True
389,2490,200,18.0,85.0,13.0,True
390,2500,200,,,,False
391,2502,200,163.0,742.0,59.0,True
392,2505,200,68.0,234.0,18.0,True
393,2506,200,123.0,527.0,48.0,True
394,2508,200,203.0,950.0,27.0,True
395,2515,200,144.0,622.0,19.0,True
396,2516,200,79.0,367.0,18.0,True
397,2517,200,164.0,737.0,56.0,True
398,2518,200,281.0,1314.0,141.0,True
399,2519,200,277.0,1223.0,43.0,True
400,2520,404,,,,
401,2521,404,,,,
402,2522,404,,,,
403,2525,200,199.0,845.0,23.0,True
404,2526,200,323.0,1529.0,57.0,True
405,2527,200,514.0,2173.0,29.0,True
406,2528,200,377.0,1493.0,36.0,True
407,2529,200,495.0,2086.0,38.0,True
408,2530,200,658.0,3107.0,56.0,True
409,2533,200,367.0,1704.0,66.0,True
410,2534,200,106.0,465.0,30.0,True
411,2535,200,271.0,1115.0,50.0,True
412,2536,200,593.0,2711.0,47.0,True
413,2537,200,476.0,2224.0,73.0,True
414,2538,200,204.0,934.0,22.0,True
415,2539,200,562.0,2506.0,76.0,True
416,2540,200,1487.0,6800.0,85.0,True
417,2541,200,607.0,3154.0,120.0,True
418,2545,200,100.0,410.0,19.0,True
419,2546,200,447.0,1894.0,29.0,True
420,2548,404,,,,
421,2549,200,267.0,1095.0,34.0,True
422,2550,200,1467.0,6097.0,50.0,True
423,2551,404,,,,
424,2555,200,20.0,53.0,9.0,True
425,2556,200,214.0,862.0,25.0,True
426,2557,200,382.0,1622.0,66.0,True
427,2558,404,,,,
428,2559,200,12.0,33.0,8.0,True
429,2560,200,1014.0,4438.0,51.0,True
430,2563,404,,,,
431,2564,200,82.0,279.0,13.0,True
432,2565,200,,,,False
433,2566,200,,,,False
434,2567,200,,,,False
435,2568,200,,,,False
436,2569,200,,,,False
437,2570,200,,,,False
438,2571,200,,,,False
439,2572,200,,,,False
440,2573,404,,,,
